freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.740e+00,9.342e+00,6.865e+02,7.056e+02
1.5,2.768e+01,1.956e+01,4.007e+02,4.479e+02
3.1,2.650e+01,1.569e+01,2.818e+01,7.037e+01
4.6,2.104e+01,1.385e+01,3.083e+02,3.432e+02
6.1,2.864e+01,1.508e+01,1.180e+03,1.223e+03
7.6,3.261e+01,1.602e+01,2.014e+03,2.062e+03
9.2,3.367e+01,1.686e+01,2.576e+03,2.626e+03
10.7,3.215e+01,1.569e+01,3.469e+03,3.517e+03
12.2,3.103e+01,1.679e+01,4.689e+03,4.736e+03
13.8,2.572e+01,1.669e+01,6.042e+03,6.084e+03
15.3,3.064e+01,1.751e+01,7.643e+03,7.691e+03
16.8,4.186e+01,1.841e+01,9.542e+03,9.602e+03
18.3,4.766e+01,1.802e+01,1.125e+04,1.131e+04
19.9,6.472e+01,1.852e+01,1.250e+04,1.259e+04
21.4,5.351e+01,1.899e+01,1.534e+04,1.542e+04
22.9,3.883e+01,1.935e+01,1.849e+04,1.854e+04
24.5,4.146e+01,1.892e+01,2.158e+04,2.164e+04
26.0,3.908e+01,1.850e+01,2.489e+04,2.495e+04
27.5,3.434e+01,1.886e+01,2.857e+04,2.863e+04
29.0,3.277e+01,1.881e+01,3.247e+04,3.252e+04
30.6,3.406e+01,1.916e+01,3.696e+04,3.701e+04
32.1,4.046e+01,2.042e+01,4.201e+04,4.207e+04
33.6,4.113e+01,2.051e+01,4.763e+04,4.769e+04
35.2,3.113e+01,2.134e+01,5.443e+04,5.449e+04
36.7,3.024e+01,2.745e+01,6.321e+04,6.327e+04
38.2,3.622e+01,3.641e+01,7.147e+04,7.154e+04
39.7,4.027e+01,4.283e+01,7.813e+04,7.821e+04
41.3,4.637e+01,4.003e+01,8.533e+04,8.541e+04
42.8,4.105e+01,3.137e+01,9.608e+04,9.615e+04
44.3,4.605e+01,3.506e+01,1.140e+05,1.141e+05
45.9,6.707e+01,6.075e+01,1.363e+05,1.364e+05
47.4,1.104e+02,9.850e+01,1.632e+05,1.634e+05
48.9,1.679e+02,1.465e+02,1.982e+05,1.985e+05
50.4,2.469e+02,2.007e+02,2.440e+05,2.444e+05
52.0,3.644e+02,2.891e+02,3.040e+05,3.047e+05
53.5,5.386e+02,4.246e+02,3.838e+05,3.848e+05
55.0,7.761e+02,6.398e+02,5.017e+05,5.031e+05
56.6,1.176e+03,1.057e+03,6.984e+05,7.007e+05
58.1,2.033e+03,1.992e+03,1.047e+06,1.051e+06
59.6,3.626e+03,3.478e+03,1.603e+06,1.610e+06
61.1,8.039e+03,6.429e+03,2.401e+06,2.416e+06
62.7,1.184e+04,1.142e+04,2.986e+06,3.010e+06
64.2,9.559e+03,1.457e+04,3.106e+06,3.130e+06
65.7,6.010e+03,1.513e+04,2.930e+06,2.951e+06
67.3,3.397e+03,1.457e+04,2.670e+06,2.688e+06
68.8,2.169e+03,1.187e+04,2.315e+06,2.329e+06
70.3,1.378e+03,8.952e+03,1.880e+06,1.890e+06
71.8,7.628e+02,7.060e+03,1.509e+06,1.517e+06
73.4,5.829e+02,6.559e+03,1.264e+06,1.272e+06
74.9,7.226e+02,6.541e+03,1.050e+06,1.057e+06
76.4,9.750e+02,6.446e+03,8.602e+05,8.676e+05
78.0,9.396e+02,5.551e+03,6.842e+05,6.907e+05
79.5,8.599e+02,4.915e+03,5.621e+05,5.679e+05
81.0,1.400e+03,5.976e+03,5.322e+05,5.396e+05
82.5,1.803e+03,5.988e+03,5.065e+05,5.143e+05
84.1,1.742e+03,5.193e+03,4.452e+05,4.521e+05
85.6,1.929e+03,4.732e+03,4.015e+05,4.081e+05
87.1,1.514e+03,3.255e+03,3.385e+05,3.432e+05
88.7,9.629e+02,2.111e+03,2.792e+05,2.823e+05
90.2,5.333e+02,1.842e+03,2.322e+05,2.346e+05
91.7,4.942e+02,1.461e+03,2.173e+05,2.192e+05
93.2,5.963e+02,1.558e+03,2.075e+05,2.096e+05
