freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.955e+01,4.446e+02,7.075e+00,5.013e+02
1.5,8.376e+01,2.900e+02,2.586e+01,3.996e+02
2.9,7.291e+01,6.023e+01,2.360e+01,1.567e+02
4.4,7.130e+01,2.700e+02,2.480e+01,3.662e+02
5.8,6.863e+01,1.183e+03,2.645e+01,1.278e+03
7.3,7.250e+01,2.411e+03,3.012e+01,2.514e+03
8.8,7.206e+01,3.396e+03,3.548e+01,3.503e+03
10.2,7.677e+01,2.590e+03,2.902e+01,2.696e+03
11.7,8.532e+01,3.303e+03,2.738e+01,3.415e+03
13.2,1.292e+02,5.103e+03,2.908e+01,5.261e+03
14.6,1.548e+02,7.404e+03,3.537e+01,7.594e+03
16.1,1.845e+02,1.002e+04,6.757e+01,1.027e+04
17.5,1.877e+02,1.234e+04,7.300e+01,1.260e+04
19.0,1.045e+02,1.503e+04,3.941e+01,1.517e+04
20.5,9.959e+01,1.674e+04,4.245e+01,1.688e+04
21.9,8.984e+01,1.874e+04,3.292e+01,1.886e+04
23.4,6.881e+01,2.321e+04,2.727e+01,2.331e+04
24.9,7.886e+01,2.783e+04,3.749e+01,2.794e+04
26.3,9.832e+01,3.329e+04,4.974e+01,3.344e+04
27.8,1.329e+02,4.073e+04,6.314e+01,4.093e+04
29.2,1.501e+02,4.854e+04,5.769e+01,4.875e+04
30.7,1.161e+02,5.883e+04,5.186e+01,5.900e+04
32.2,1.137e+02,7.409e+04,5.024e+01,7.425e+04
33.6,1.670e+02,9.489e+04,5.934e+01,9.511e+04
35.1,2.286e+02,1.221e+05,1.334e+02,1.225e+05
36.6,2.832e+02,1.617e+05,2.198e+02,1.622e+05
38.0,4.385e+02,2.261e+05,2.543e+02,2.268e+05
39.5,9.100e+02,3.431e+05,3.047e+02,3.443e+05
40.9,2.376e+03,5.948e+05,4.939e+02,5.977e+05
42.4,5.707e+03,1.008e+06,9.777e+02,1.015e+06
43.9,9.968e+03,1.305e+06,1.493e+03,1.317e+06
45.3,1.324e+04,1.336e+06,1.748e+03,1.351e+06
46.8,1.456e+04,1.155e+06,1.647e+03,1.172e+06
48.3,1.423e+04,8.804e+05,1.369e+03,8.960e+05
49.7,1.376e+04,6.509e+05,1.162e+03,6.658e+05
51.2,1.325e+04,4.726e+05,9.800e+02,4.868e+05
52.6,1.318e+04,3.450e+05,8.041e+02,3.590e+05
54.1,1.411e+04,2.589e+05,6.695e+02,2.737e+05
55.6,1.571e+04,1.968e+05,5.847e+02,2.131e+05
57.0,1.783e+04,1.549e+05,5.490e+02,1.733e+05
58.5,1.641e+04,1.276e+05,4.311e+02,1.444e+05
60.0,1.237e+04,1.060e+05,2.453e+02,1.186e+05
61.4,1.105e+04,8.576e+04,1.363e+02,9.695e+04
62.9,1.298e+04,6.654e+04,1.149e+02,7.963e+04
64.3,1.761e+04,4.809e+04,1.321e+02,6.583e+04
65.8,2.516e+04,3.308e+04,1.485e+02,5.838e+04
67.3,3.576e+04,2.267e+04,1.439e+02,5.857e+04
68.7,5.315e+04,1.494e+04,1.315e+02,6.822e+04
70.2,8.299e+04,9.983e+03,1.370e+02,9.311e+04
71.7,1.227e+05,1.100e+04,1.883e+02,1.338e+05
73.1,1.708e+05,2.131e+04,3.195e+02,1.924e+05
74.6,2.151e+05,4.229e+04,4.818e+02,2.579e+05
76.0,2.334e+05,6.858e+04,5.826e+02,3.026e+05
77.5,2.414e+05,1.038e+05,5.626e+02,3.458e+05
79.0,2.553e+05,1.617e+05,4.734e+02,4.175e+05
80.4,2.562e+05,2.290e+05,4.880e+02,4.857e+05
81.9,2.207e+05,2.573e+05,6.197e+02,4.787e+05
83.4,1.771e+05,2.485e+05,5.165e+02,4.262e+05
84.8,1.415e+05,2.270e+05,6.653e+02,3.691e+05
86.3,1.153e+05,2.076e+05,2.131e+03,3.251e+05
87.7,9.925e+04,1.960e+05,3.545e+03,2.987e+05
89.2,8.809e+04,1.849e+05,3.089e+03,2.761e+05
90.7,7.861e+04,1.709e+05,1.855e+03,2.514e+05
92.1,7.012e+04,1.573e+05,1.014e+03,2.284e+05
93.6,6.182e+04,1.440e+05,6.790e+02,2.065e+05
95.1,5.480e+04,1.327e+05,5.952e+02,1.881e+05
96.5,4.932e+04,1.231e+05,5.730e+02,1.730e+05
98.0,4.471e+04,1.118e+05,6.658e+02,1.572e+05
99.4,4.232e+04,1.029e+05,9.447e+02,1.462e+05
100.9,4.137e+04,9.490e+04,1.494e+03,1.378e+05
102.4,4.132e+04,8.617e+04,3.773e+03,1.313e+05
103.8,4.320e+04,8.030e+04,5.013e+03,1.285e+05
105.3,4.481e+04,7.026e+04,5.180e+03,1.203e+05
106.7,4.571e+04,5.855e+04,5.275e+03,1.095e+05
108.2,4.478e+04,4.820e+04,3.187e+03,9.616e+04
109.7,4.086e+04,4.475e+04,2.690e+03,8.830e+04
111.1,3.606e+04,4.665e+04,3.526e+03,8.624e+04
112.6,3.298e+04,4.352e+04,4.045e+03,8.054e+04
114.1,2.962e+04,4.659e+04,4.367e+03,8.058e+04
115.5,2.563e+04,5.935e+04,4.702e+03,8.968e+04
117.0,2.179e+04,8.175e+04,5.069e+03,1.086e+05
118.4,1.817e+04,1.136e+05,5.603e+03,1.374e+05
119.9,1.383e+04,1.467e+05,5.764e+03,1.663e+05
121.4,9.663e+03,1.699e+05,5.732e+03,1.852e+05
122.8,6.417e+03,1.726e+05,5.276e+03,1.843e+05
124.3,4.781e+03,1.764e+05,4.956e+03,1.861e+05
125.8,3.799e+03,1.793e+05,4.392e+03,1.875e+05
127.2,2.867e+03,1.652e+05,3.618e+03,1.717e+05
128.7,2.444e+03,1.666e+05,3.328e+03,1.724e+05
130.1,2.461e+03,1.893e+05,3.292e+03,1.951e+05
131.6,2.642e+03,1.692e+05,2.854e+03,1.747e+05
133.1,1.126e+03,7.937e+04,1.279e+03,8.177e+04
134.5,1.481e+02,5.822e+03,1.960e+02,6.166e+03
136.0,1.153e+03,1.054e+03,8.009e+02,3.008e+03
137.5,1.394e+03,1.434e+03,9.324e+02,3.760e+03
138.9,1.596e+02,8.033e+02,1.042e+02,1.067e+03
140.4,9.620e+01,8.608e+02,5.835e+01,1.015e+03
141.8,1.081e+02,9.927e+02,7.009e+01,1.171e+03
143.3,1.174e+02,1.109e+03,8.601e+01,1.312e+03
144.8,1.202e+02,1.227e+03,9.918e+01,1.447e+03
146.2,1.036e+02,1.335e+03,1.032e+02,1.542e+03
147.7,8.775e+01,1.373e+03,1.069e+02,1.568e+03
149.2,8.184e+01,1.401e+03,1.197e+02,1.602e+03
150.6,8.098e+01,1.417e+03,1.356e+02,1.633e+03
152.1,8.537e+01,1.500e+03,1.592e+02,1.744e+03
153.5,9.947e+01,1.495e+03,1.804e+02,1.775e+03
155.0,1.092e+02,1.595e+03,1.753e+02,1.880e+03
156.5,1.171e+02,1.636e+03,1.556e+02,1.909e+03
157.9,1.479e+02,1.649e+03,1.421e+02,1.939e+03
159.4,2.428e+02,1.580e+03,1.319e+02,1.954e+03
160.9,4.798e+02,1.540e+03,1.237e+02,2.144e+03
162.3,1.086e+03,1.573e+03,1.245e+02,2.784e+03
163.8,2.117e+03,1.704e+03,1.404e+02,3.961e+03
165.2,3.948e+03,1.977e+03,2.093e+02,6.134e+03
166.7,6.572e+03,2.456e+03,2.730e+02,9.301e+03
168.2,7.932e+03,2.698e+03,2.982e+02,1.093e+04
169.6,7.453e+03,2.591e+03,3.072e+02,1.035e+04
171.1,3.940e+03,2.066e+03,2.502e+02,6.257e+03
172.6,1.628e+03,1.622e+03,2.018e+02,3.452e+03
174.0,1.070e+03,1.562e+03,2.361e+02,2.868e+03
175.5,6.320e+02,1.584e+03,3.005e+02,2.517e+03
176.9,3.470e+02,1.722e+03,3.323e+02,2.401e+03
178.4,2.052e+02,2.082e+03,4.088e+02,2.696e+03
179.9,1.660e+02,2.487e+03,5.103e+02,3.163e+03
181.3,1.589e+02,2.628e+03,5.724e+02,3.359e+03
182.8,1.700e+02,2.567e+03,5.623e+02,3.299e+03
184.3,1.445e+02,2.498e+03,6.206e+02,3.263e+03
185.7,1.361e+02,2.498e+03,6.346e+02,3.268e+03
187.2,1.356e+02,2.393e+03,6.001e+02,3.129e+03
188.6,1.408e+02,2.228e+03,5.499e+02,2.919e+03
190.1,1.405e+02,2.017e+03,4.591e+02,2.617e+03
191.6,1.465e+02,1.812e+03,3.792e+02,2.338e+03
193.0,1.594e+02,1.805e+03,3.166e+02,2.281e+03
194.5,1.664e+02,2.000e+03,2.783e+02,2.445e+03
196.0,1.823e+02,1.875e+03,2.494e+02,2.306e+03
197.4,1.953e+02,1.717e+03,2.378e+02,2.150e+03
198.9,1.953e+02,1.589e+03,2.314e+02,2.016e+03
